sample;wt;J_norm;S_norm;Vp_anis;Vs1_anis;max_SWS;Vp_axial;Vp_trans;S_micas
PBT;0.730;7.14;1.11;20.2;18.7;19.9;16.7;4.9;1.52
ANL;0.726;4.08;0.80;23.4;19.7;20.1;22.0;1.9;1.10
IRO;0.705;6.36;1.17;24.1;22.8;23.3;22.9;2.2;1.66
WA;0.695;1.35;0.23;10.4;8.2;8.9;10.0;0.8;0.34
CA;0.679;9.58;1.38;28.7;27.2;27.8;28.2;1.1;2.04
RIM;0.644;5.65;0.81;15.0;5.5;12.0;6.4;10.7;1.25
OSO;0.631;8.94;1.32;26.5;24.1;24.9;25.9;0.4;2.09
EUP;0.599;9.66;1.28;23.5;23.7;24.4;22.9;1.0;2.14
GXE;0.588;17.01;1.61;22.9;25.0;26.2;22.1;0.9;2.74
RVS;0.485;6.32;1.00;18.2;13.6;14.9;15.7;4.6;2.06
BEI;0.475;10.29;1.14;20.1;20.5;21.0;19.5;1.1;2.39
BRA;0.446;0.84;0.18;9.2;5.0;5.8;8.3;1.6;0.40
ALT;0.119;1.74;0.27;7.1;5.6;6.4;6.5;1.4;2.28
SPT;0.495;4.79;0.78;17.6;12.9;15.0;13.6;7.0;1.58
fake1;0.0;;0.0;0.0;0.0;0.0;;;0.0
fake2;0.2;;0.0;0.0;0.0;0.0;;;0.0
fake3;0.4;;0.0;0.0;0.0;0.0;;;0.0
fake4;0.6;;0.0;0.0;0.0;0.0;;;0.0
fake5;0.8;;0.0;0.0;0.0;0.0;;;0.0
fake6;1.0;;0.0;0.0;0.0;0.0;;;0.0
